Phase,164.49269809940145
QGesamt2,2.029889241782034
Qpulse1,2.505547190016546
maxRest2,6.863082059865466
QGesamt1,2.0299124251901866
QGesamt3,2.0311235824529636
Qrest2,1.9097387200046083
QGesamt4,2.031100327296503
maxPulse2,9.622567757623756
maxRest3,6.439634699088208
Qpulse2,2.5053572725715285
MWpulse3,9.719447134375757e-05
MWpulse1,9.701548281800452e-05
MWpulse4,-2.27008415705061e-18
maxRest4,6.865998462589712
maxPulse3,9.633320888382677
Qpulse3,2.5063763944124724
Qrest3,1.9110518623353139
Amplitude,237.5911382175067
Qrest4,1.9110765783159682
Qpulse4,2.5061858293734036
maxPulse1,9.632269305905556
maxPulse4,9.6236014412483
Qrest1,1.9097140777209962
MWpulse2,-4.206704429243757e-18
maxRest1,6.872783608147265
