-300.0,-518.68297368
-299.0,-517.434858201
-298.0,-516.181295198
-297.0,-514.922307136
-296.0,-513.657916475
-295.0,-512.38814568
-294.0,-511.113017212
-293.0,-509.832553534
-292.0,-508.546777109
-291.0,-507.255710398
-290.0,-505.959375866
-289.0,-504.657795974
-288.0,-503.350993185
-287.0,-502.038989962
-286.0,-500.721808767
-285.0,-499.399472062
-284.0,-498.072002311
-283.0,-496.739421976
-282.0,-495.40175352
-281.0,-494.059019404
-280.0,-492.711242092
-279.0,-491.358444047
-278.0,-490.00064773
-277.0,-488.637875605
-276.0,-487.270150134
-275.0,-485.897493779
-274.0,-484.519929004
-273.0,-483.13747827
-272.0,-481.750164041
-271.0,-480.358008779
-270.0,-478.961034946
-269.0,-477.559265005
-268.0,-476.152721419
-267.0,-474.741426651
-266.0,-473.325403162
-265.0,-471.904673416
-264.0,-470.479259875
-263.0,-469.049185002
-262.0,-467.614471259
-261.0,-466.175141109
-260.0,-464.731217014
-259.0,-463.282721437
-258.0,-461.829676841
-257.0,-460.372105688
-256.0,-458.91003044
-255.0,-457.443473561
-254.0,-455.972457514
-253.0,-454.497004759
-252.0,-453.017137761
-251.0,-451.532878981
-250.0,-450.044250883
-249.0,-448.551275929
-248.0,-447.053976581
-247.0,-445.552375302
-246.0,-444.046494554
-245.0,-442.536356801
-244.0,-441.021984505
-243.0,-439.503400129
-242.0,-437.980626134
-241.0,-436.453684984
-240.0,-434.92259914
-239.0,-433.387391067
-238.0,-431.848083226
-237.0,-430.30469808
-236.0,-428.757258092
-235.0,-427.205785723
-234.0,-425.650303438
-233.0,-424.090833697
-232.0,-422.527398965
-231.0,-420.960021702
-230.0,-419.388724373
-229.0,-417.81352944
-228.0,-416.234459365
-227.0,-414.65153661
-226.0,-413.064783639
-225.0,-411.474222914
-224.0,-409.879876897
-223.0,-408.281768052
-222.0,-406.67991884
-221.0,-405.074351725
-220.0,-403.465089168
-219.0,-401.852153633
-218.0,-400.235567583
-217.0,-398.615353478
-216.0,-396.991533783
-215.0,-395.36413096
-214.0,-393.733167472
-213.0,-392.09866578
-212.0,-390.460648348
-211.0,-388.819137638
-210.0,-387.174156113
-209.0,-385.525726235
-208.0,-383.873870467
-207.0,-382.218611272
-206.0,-380.559971112
-205.0,-378.89797245
-204.0,-377.232637747
-203.0,-375.563989468
-202.0,-373.892050074
-201.0,-372.216842029
-200.0,-370.538387794
-199.0,-368.856709832
-198.0,-367.171830606
-197.0,-365.483772578
-196.0,-363.792558212
-195.0,-362.098209969
-194.0,-360.400750312
-193.0,-358.700201704
-192.0,-356.996586607
-191.0,-355.289927484
-190.0,-353.580246798
-189.0,-351.86756701
-188.0,-350.151910585
-187.0,-348.433299984
-186.0,-346.711757669
-185.0,-344.987306104
-184.0,-343.259967751
-183.0,-341.529765073
-182.0,-339.796720532
-181.0,-338.060856591
-180.0,-336.322195712
-179.0,-334.580760358
-178.0,-332.836572992
-177.0,-331.089656076
-176.0,-329.340032072
-175.0,-327.587723444
-174.0,-325.832752654
-173.0,-324.075142164
-172.0,-322.314914437
-171.0,-320.552091936
-170.0,-318.786697124
-169.0,-317.018752462
-168.0,-315.248280413
-167.0,-313.475303441
-166.0,-311.699844007
-165.0,-309.921924574
-164.0,-308.141567605
-163.0,-306.358795563
-162.0,-304.573630909
-161.0,-302.786096107
-160.0,-300.996213619
-159.0,-299.204005908
-158.0,-297.409495436
-157.0,-295.612704666
-156.0,-293.813656061
-155.0,-292.012372082
-154.0,-290.208875194
-153.0,-288.403187857
-152.0,-286.595332535
-151.0,-284.785331691
-150.0,-282.973207787
-149.0,-281.158983285
-148.0,-279.342680648
-147.0,-277.524322339
-146.0,-275.703930821
-145.0,-273.881528555
-144.0,-272.057138005
-143.0,-270.230781633
-142.0,-268.402481902
-141.0,-266.572261274
-140.0,-264.740142212
-139.0,-262.906147178
-138.0,-261.070298636
-137.0,-259.232619047
-136.0,-257.393130874
-135.0,-255.55185658
-134.0,-253.708818627
-133.0,-251.864039479
-132.0,-250.017541597
-131.0,-248.169347444
-130.0,-246.319479483
-129.0,-244.467960176
-128.0,-242.614811986
-127.0,-240.760057375
-126.0,-238.903718807
-125.0,-237.045818743
-124.0,-235.186379647
-123.0,-233.32542398
-122.0,-231.462974206
-121.0,-229.599052787
-120.0,-227.733682185
-119.0,-225.866884864
-118.0,-223.998683286
-117.0,-222.129099912
-116.0,-220.258157207
-115.0,-218.385877632
-114.0,-216.512283651
-113.0,-214.637397725
-112.0,-212.761242317
-111.0,-210.883839891
-110.0,-209.005212908
-109.0,-207.12538383
-108.0,-205.244375122
-107.0,-203.362209245
-106.0,-201.478908661
-105.0,-199.594495834
-104.0,-197.708993226
-103.0,-195.8224233
-102.0,-193.934808518
-101.0,-192.046171342
-100.0,-190.156534236
-99.0,-188.265919662
-98.0,-186.374350082
-97.0,-184.481847959
-96.0,-182.588435756
-95.0,-180.694135936
-94.0,-178.79897096
-93.0,-176.902963292
-92.0,-175.006135393
-91.0,-173.108509728
-90.0,-171.210108757
-89.0,-169.310954945
-88.0,-167.411070753
-87.0,-165.510478643
-86.0,-163.60920108
-85.0,-161.707260524
-84.0,-159.804679439
-83.0,-157.901480288
-82.0,-155.997685532
-81.0,-154.093317635
-80.0,-152.188399059
-79.0,-150.282952267
-78.0,-148.376999721
-77.0,-146.470563884
-76.0,-144.563667218
-75.0,-142.656332186
-74.0,-140.748581251
-73.0,-138.840436875
-72.0,-136.931921521
-71.0,-135.023057651
-70.0,-133.113867728
-69.0,-131.204374215
-68.0,-129.294599574
