Qrest1,1.9989337226628034
maxPulse4,8.30409229432176
Amplitude,224.17788249569517
maxPulse2,8.303846831359788
Qrest4,2.000216628530159
QGesamt4,2.0575650567140116
Phase,164.5749526669286
maxPulse3,8.29742708380412
Qpulse3,2.300911026266015
QGesamt1,2.0563524802540556
Qrest2,1.9989449783906785
Qpulse1,2.2998574598538806
MWpulse2,-3.894454203567932e-18
maxRest3,8.145103892820785
Qpulse4,2.3008134089157672
Qpulse2,2.299758540674488
QGesamt2,2.0563415387557216
Qrest3,2.000205523444356
MWpulse1,-6.708131987122813e-05
maxPulse1,8.297138699372665
MWpulse3,-6.665210517642642e-05
MWpulse4,-8.760606465237566e-18
maxRest4,7.81847178263302
maxRest1,7.817922525786288
maxRest2,7.811214393799165
QGesamt3,2.0575758522207095
