Qrest1,1.1424318850299355
maxPulse4,8.358704906546283
Amplitude,872.8994933710358
maxPulse2,8.358617909456076
Qrest4,1.1440935714635678
QGesamt4,1.335723943398057
Phase,164.49833399566361
maxPulse3,8.405553926934287
Qpulse3,1.9928135679059071
QGesamt1,1.3359465536746715
Qrest2,1.14339282718628
Qpulse1,1.9923878645291444
MWpulse2,8.083811398051921e-18
maxRest3,4.344142920812652
Qpulse4,1.9872374458552586
Qpulse2,1.9868064548040274
QGesamt2,1.3351242073107756
Qrest3,1.1431339683313355
MWpulse1,0.00046867316202281185
maxPulse1,8.405485225658357
MWpulse3,0.0004684902038800443
MWpulse4,2.2381111407541226e-19
maxRest4,4.2645246190296175
maxRest1,4.217598266218536
maxRest2,4.264465582420818
QGesamt3,1.3365452793220929
