391389.432487,8.60978044713,0.31227932542,(8.19337503452+2.64517010635j)
782778.864974,9.94719895355,-0.430842894471,(9.03816471466-4.15431650361j)
1174168.29746,10.4923411327,-0.776217777093,(7.48700314066-7.35078270779j)
1565557.72995,10.7068878913,-0.955603144161,(6.17911950252-8.7439081931j)
1956947.16243,10.9534983541,-1.27258251581,(3.21828376748-10.4700418235j)
2348336.59492,11.1890509595,-1.72569836169,(-1.72628379424-11.055080535j)
2739726.02741,11.1739195086,-2.1457088659,(-6.07594602714-9.37759868307j)
3131115.4599,11.3202099992,-2.33806829383,(-7.85819734314-8.1483672562j)
3522504.89238,11.4705797871,-2.49692721402,(-9.16844428191-6.89302764399j)
3913894.32487,11.3929322592,-2.89898102789,(-11.0592773951-2.73702191496j)
4305283.75736,11.1605931833,-3.34746448629,(-10.9249164543+2.28145582243j)
4696673.18984,10.8423209389,-3.55037425535,(-9.94897665352+4.30973164949j)
5088062.62233,10.3738975789,-3.44877782042,(-9.88827971797+3.136825656j)
5479452.05482,10.122888418,-3.44017248867,(-9.67500337634+2.97778098444j)
5870841.4873,9.71511646489,-4.1107004621,(-5.49909849436+8.00895771469j)
6262230.91979,9.32658398241,-4.81178174514,(0.92546943633+9.28055359898j)
6653620.35228,9.14749619229,-4.83151739534,(1.08715105996+9.08266421051j)
7045009.78477,8.71848992742,-4.64295319815,(-0.604888833247+8.69748102119j)
7436399.21725,8.61004774156,-4.91060675265,(1.69551052807+8.44145521585j)
7827788.64974,8.54252220269,-5.58385234221,(6.5373507691+5.49888447826j)
8219178.08223,8.19009724962,-6.06767901402,(8.00064598929+1.75138708238j)
8610567.51471,8.19539206088,-5.93443659853,(7.70203800164+2.80054667034j)
9001956.9472,7.97414829394,-5.74275794928,(6.83774351321+4.10271917895j)
9393346.37969,7.7026665339,-6.31253745423,(7.69934866158-0.226057337652j)
9784735.81217,6.42325650836,-6.98848628609,(4.89077331419-4.1639597214j)
10176125.2447,6.87866671026,-7.43590551363,(2.79275950114-6.28621906075j)
10567514.6771,9.54802359622,-7.67962046808,(1.6563818262-9.40325230119j)
10958904.1096,10.8604302546,-7.8081237503,(0.497861808461-10.8490128092j)
11350293.5421,11.7542812154,-7.56001339843,(3.40583238083-11.2500414526j)
11741682.9746,12.5597889191,-7.35840325398,(5.97268865524-11.0487686155j)
12133072.4071,13.2753097903,-8.04819161333,(-2.56202097588-13.0257398465j)
12524461.8396,13.3079295755,-8.80551574904,(-10.8367390915-7.72438188143j)
12915851.2721,13.127427285,-9.07741278803,(-12.3433644849-4.46885895005j)
13307240.7046,12.7213791636,-9.02905732119,(-11.738258473-4.90375120126j)
13698630.137,12.0624405825,-9.24825516424,(-11.8749934644-2.11825471254j)
14090019.5695,11.0212002959,-10.0371614558,(-9.01843068968+6.33520038026j)
