3.9139e+05,-0.19986-6.3456i
7.8278e+05,-6.2246-11.862i
1.1742e+06,-16.341-12.97i
1.5656e+06,-27.101-8.1443i
1.9569e+06,-34.157+2.8124i
2.3483e+06,-36.261+18.492i
2.7397e+06,-31.156+34.104i
3.1311e+06,-19.482+49.007i
3.5225e+06,-0.4702+57.31i
3.9139e+06,21.047+56.478i
4.3053e+06,40.799+46.454i
4.6967e+06,53.972+30.825i
5.0881e+06,62.486+10.51i
5.4795e+06,61.792-9.8005i
5.8708e+06,54.198-28.263i
6.2622e+06,43.801-41.956i
6.6536e+06,30.02-51.448i
7.045e+06,14.091-56.768i
7.4364e+06,-1.7857-57.215i
7.8278e+06,-16.07-55.181i
8.2192e+06,-30.259-49.535i
8.6106e+06,-41.19-40.744i
9.002e+06,-51.413-28.779i
9.3933e+06,-58.864-15.61i
9.7847e+06,-62.964-0.43515i
1.0176e+07,-62.936+17.13i
1.0568e+07,-59.609+34.289i
1.0959e+07,-51.353+53.353i
1.135e+07,-34.812+70.316i
1.1742e+07,-11.594+83.124i
1.2133e+07,17.591+88.455i
1.2524e+07,49.542+78.859i
1.2916e+07,78.772+57.569i
1.3307e+07,94.333+23.222i
1.3699e+07,91.925-14.044i
1.409e+07,75.749-44.332i
1.4481e+07,50.171-62.456i
1.4873e+07,24.681-68.761i
1.5264e+07,3.0011-65.671i
1.5656e+07,-14.579-57.552i
1.6047e+07,-26.208-46.873i
1.6438e+07,-34.155-35.035i
1.683e+07,-37.94-23.291i
1.7221e+07,-39.626-12.802i
1.7613e+07,-38.464-3.1029i
1.8004e+07,-36.086+5.5335i
1.8395e+07,-32.045+12.194i
1.8787e+07,-27.668+18.57i
1.9178e+07,-22.563+23.077i
1.9569e+07,-16.985+26.427i
1.9961e+07,-11.113+29.271i
2.0352e+07,-3.7211+30.609i
2.0744e+07,2.4592+30.712i
2.1135e+07,9.8392+29.869i
2.1526e+07,15.968+27.813i
2.1918e+07,23.488+24.509i
2.2309e+07,29.522+19.491i
2.2701e+07,35.351+11.585i
2.3092e+07,39.37+1.163i
2.3483e+07,39.999-11.471i
2.3875e+07,35.404-25.042i
2.4266e+07,24.688-37.051i
2.4658e+07,9.8735-44.138i
2.5049e+07,-6.3906-42.723i
2.544e+07,-19.958-35.617i
2.5832e+07,-27.822-24.513i
2.6223e+07,-30.495-12.566i
2.6614e+07,-29.488-2.3776i
2.7006e+07,-26.236+5.4527i
2.7397e+07,-21.249+10.561i
2.7789e+07,-15.454+13.43i
2.818e+07,-10.537+14.621i
2.8571e+07,-6.163+16.128i
2.8963e+07,-1.8592+14.687i
2.9354e+07,1.1701+13.729i
2.9746e+07,3.5641+11.535i
3.0137e+07,4.5532+9.5033i
3.0528e+07,5.9872+7.6644i
3.092e+07,5.9155+5.6563i
3.1311e+07,5.7438+4.2643i
3.1703e+07,6.1594+3.4538i
3.2094e+07,6.0245+3.6287i
3.2485e+07,6.9787+3.5409i
3.2877e+07,6.9802+2.0902i
3.3268e+07,8.5384+1.2107i
3.3659e+07,9.0048-0.77498i
3.4051e+07,9.0877-2.4234i
3.4442e+07,8.3962-5.1497i
3.4834e+07,7.4114-6.1308i
3.5225e+07,6.0268-8.004i
3.5616e+07,4.5542-9.248i
3.6008e+07,2.8445-10.916i
3.6399e+07,0.57218-10.942i
3.6791e+07,-1.7634-11.33i
3.7182e+07,-3.9383-10.689i
3.7573e+07,-6.4739-11.602i
3.7965e+07,-9.5586-10.144i
3.8356e+07,-11.894-7.7919i
3.8748e+07,-13.737-5.8192i
3.9139e+07,-16.221-2.1662i
3.953e+07,-17.654+1.2548i
3.9922e+07,-18.187+5.6302i
4.0313e+07,-17.398+11.457i
4.0705e+07,-15.529+17.257i
4.1096e+07,-10.656+22.439i
4.1487e+07,-3.3937+26.266i
4.1879e+07,5.1298+27.08i
4.227e+07,13.496+26.304i
4.2661e+07,22.202+20.443i
4.3053e+07,27.196+12.122i
4.3444e+07,30.471+2.9945i
4.3836e+07,28.424-6.1867i
4.4227e+07,25.083-13.93i
4.4618e+07,19.368-19.392i
4.501e+07,12.532-22.273i
4.5401e+07,6.9013-24.049i
4.5793e+07,1.1837-23.479i
4.6184e+07,-4.3855-22.195i
4.6575e+07,-9.2736-21.026i
4.6967e+07,-13.426-18.766i
4.7358e+07,-16.697-14.23i
4.775e+07,-19.561-10.979i
4.8141e+07,-21.68-6.7193i
4.8532e+07,-23.197-2.265i
4.8924e+07,-23.448+1.8716i
4.9315e+07,-22.749+7.3435i
4.9706e+07,-22.709+13.252i
5.0098e+07,-19.75+18.917i
5.0489e+07,-17.179+24.259i
5.0881e+07,-12.21+29.903i
5.1272e+07,-6.0573+33.172i
5.1663e+07,2.6619+36.575i
5.2055e+07,12.73+38.971i
5.2446e+07,24.25+38.566i
5.2838e+07,37.682+33.363i
5.3229e+07,50.209+24.188i
5.362e+07,62.87+9.8957i
5.4012e+07,70.426-11.34i
5.4403e+07,69.155-37.215i
5.4795e+07,58.505-64.391i
5.5186e+07,35.557-87.644i
5.5577e+07,2.1641-102.63i
5.5969e+07,-38.576-103.95i
5.636e+07,-79.76-85.421i
5.6751e+07,-110.75-48.562i
5.7143e+07,-123.71-1.6546i
5.7534e+07,-115.93+46.219i
5.7926e+07,-91.103+88.586i
5.8317e+07,-47.923+113.88i
5.8708e+07,0.44337+123.32i
5.91e+07,48.791+106.85i
5.9491e+07,82.784+74.128i
5.9883e+07,95.417+31.555i
6.0274e+07,90.246-4.4566i
6.0665e+07,73.333-30.805i
6.1057e+07,52.494-47.633i
6.1448e+07,30.382-55.089i
6.184e+07,10.982-55.639i
6.2231e+07,-5.5945-50.196i
6.2622e+07,-16.869-42.28i
6.3014e+07,-25.779-32.352i
6.3405e+07,-29.983-21.946i
6.3796e+07,-31.232-12.02i
6.4188e+07,-31.046-3.2366i
6.4579e+07,-27.888+4.6902i
6.4971e+07,-24.288+10.781i
6.5362e+07,-18.672+15.703i
6.5753e+07,-12.491+18.554i
6.6145e+07,-7.6469+19.027i
6.6536e+07,-3.1576+19.088i
6.6928e+07,1.1961+17.891i
6.7319e+07,4.9725+15.592i
6.771e+07,8.4132+12.816i
6.8102e+07,10.705+10.588i
6.8493e+07,12.26+7.3544i
6.8885e+07,13.826+2.4878i
6.9276e+07,13.091+0.027887i
6.9667e+07,11.618-3.4985i
