,Column file,columns=4,rows=14399,generated by singlesinge_Signal
 ,0,0,3,6
 ,0,0,103,6
 ,Startindex,Vorzeichen,dataPointsSignal,t
0,647.0,-1.0,0.00594907407407415,0.0
1,,,0.007074074074072567,6.944444444444444e-10
2,,,0.01033333333333115,1.3888888888888888e-09
3,,,0.010231481481487179,2.083333333333333e-09
4,,,0.005347222222221116,2.7777777777777776e-09
5,,,0.008462962962961777,3.472222222222222e-09
6,,,0.008532407407407704,4.166666666666666e-09
7,,,0.007342592592588943,4.8611111111111105e-09
8,,,0.008194444444445803,5.555555555555555e-09
9,,,0.006666666666667368,6.25e-09
10,,,0.008851851851849566,6.944444444444444e-09
11,,,0.00813888888889103,7.638888888888889e-09
12,,,0.009472222222222515,8.333333333333332e-09
13,,,0.00875925925925715,9.027777777777776e-09
14,,,0.009412037037036285,9.722222222222221e-09
15,,,0.007759259259260056,1.0416666666666666e-08
16,,,0.008208333333330209,1.111111111111111e-08
17,,,0.010148148148148383,1.1805555555555555e-08
18,,,0.00849074074073992,1.25e-08
19,,,0.009824074074076337,1.3194444444444444e-08
20,,,0.0053009259259295186,1.3888888888888889e-08
21,,,0.003851851851852767,1.4583333333333332e-08
22,,,0.008384259259251665,1.5277777777777778e-08
23,,,0.010222222222223507,1.597222222222222e-08
24,,,0.008611111111113278,1.6666666666666664e-08
25,,,0.008222222222220209,1.736111111111111e-08
26,,,0.008712962962961939,1.8055555555555553e-08
27,,,0.008824074074075157,1.875e-08
28,,,0.011157407407406344,1.9444444444444442e-08
29,,,0.007629629629635333,2.0138888888888888e-08
30,,,0.005990740740738787,2.083333333333333e-08
31,,,0.007916666666669884,2.1527777777777778e-08
32,,,0.004916666666666879,2.222222222222222e-08
33,,,0.008777777777772465,2.2916666666666663e-08
34,,,0.009097222222222794,2.361111111111111e-08
35,,,0.0077222222222195986,2.4305555555555553e-08
36,,,0.008092592592594467,2.5e-08
37,,,0.007129629629629296,2.5694444444444442e-08
38,,,0.005930555555558877,2.6388888888888888e-08
39,,,0.0034074074074093436,2.708333333333333e-08
40,,,0.004796296296294873,2.7777777777777777e-08
41,,,0.00622222222222331,2.847222222222222e-08
42,,,0.0058564814814787685,2.9166666666666663e-08
43,,,0.0086574074074079,2.9861111111111106e-08
44,,,0.008125000000001307,3.0555555555555556e-08
45,,,0.00692592592592646,3.125e-08
46,,,0.006606481481481713,3.194444444444444e-08
47,,,0.009666666666664533,3.2638888888888884e-08
48,,,0.007671296296298042,3.333333333333333e-08
49,,,0.008444444444444196,3.402777777777778e-08
50,,,0.0057314814814824165,3.472222222222222e-08
